InNum,CallDateTime,Address,AptLot,geox,geoy,ExtNatureDisplayName,Report,PolArea,DOW,Hour,Agency
2026204334,7/27/2026 8:33:12 PM,5135-104 CLARK LN,          ,1709240.88,1140053.0,Medical Response,2609631.0,40  ,Monday,20,CFD 
2026204324,7/27/2026 8:20:35 PM,126 N TENTH ST,          ,1689828.88,1136060.0,Medical Response,2609630.0,70D ,Monday,20,CFD 
2026204315,7/27/2026 8:10:46 PM,2910 HADEN DR,          ,1692311.88,1145954.25,Medical Response,2609629.0,30  ,Monday,20,CFD 
2026204263,7/27/2026 7:15:16 PM,2001 E BROADWAY,          ,1695101.38,1134809.5,Citizen Assist/Service Call,2609628.0,80  ,Monday,19,CFD 
2026204262,7/27/2026 7:13:34 PM,1201-801 PAQUIN ST,          ,1690631.38,1134066.0,Medical Response,2609627.0,70  ,Monday,19,CFD 
2026204240,7/27/2026 6:45:56 PM,309 HITT ST,          ,1689880.75,1134016.13,Outside Fire,2609626.0,MUG2,Monday,18,CFD 
2026204217,7/27/2026 6:17:54 PM,1729-A W BROADWAY,          ,1679027.88,1136982.88,Medical Response,2609625.0,50  ,Monday,18,CFD 
2026204210,7/27/2026 6:14:32 PM,1805 E WALNUT ST,          ,1694184.88,1136104.5,Medical Response,2609623.0,80  ,Monday,18,CFD 
2026204208,7/27/2026 6:14:26 PM,1918 DORIS DR,          ,1683055.38,1142974.88,Citizen Assist/Service Call,2609624.0,10  ,Monday,18,CFD 
2026204198,7/27/2026 6:06:09 PM,15670 S BENTLAGE DR,          ,1718785.5,1066758.38,Medical Response,2607270002.0,108 ,Monday,18,SBFD
2026204188,7/27/2026 5:57:00 PM,4014 FRONTGATE DR,          ,1670121.88,1120603.25,Alarm,2609622.0,60  ,Monday,17,CFD 
2026204159,7/27/2026 5:35:24 PM,GRINDSTONE PKWY/ROCK QUARRY RD,          ,1693509.38,1121442.88,Motor Vehicle Collision,2609621.0,60  ,Monday,17,CFD 
2026204136,7/27/2026 5:04:27 PM,1601-10F HANOVER BLVD,          ,1702134.5,1141552.13,Medical Response,2609620.0,40  ,Monday,17,CFD 
2026204133,7/27/2026 5:02:42 PM,460-D E HINTON RD,          ,1687945.75,1172340.5,Medical Response,26002538.0,110 ,Monday,17,BCFD
2026204113,7/27/2026 4:48:10 PM,1201 FORUM BLVD,          ,1680211.13,1130298.13,Unknown Problem,2609619.0,50  ,Monday,16,CFD 
2026204092,7/27/2026 4:34:14 PM,N RANGELINE RD OFFR EB/N RANGELINE RD,          ,1724567.75,1137892.25,Motor Vehicle Collision,26002537.0,114 ,Monday,16,BCFD
2026204082,7/27/2026 4:28:23 PM,3710 LENOIR ST,          ,1699923.75,1119571.75,Medical Response,2609618.0,80  ,Monday,16,CFD 
2026204065,7/27/2026 4:10:08 PM,11201 E RTE Y,          ,1732780.75,1065234.88,Medical Response,2607270001.0,108 ,Monday,16,SBFD
2026204059,7/27/2026 4:07:03 PM,500-104 PARK AVE,          ,1688399.0,1136428.5,Medical Response,2609617.0,20  ,Monday,16,CFD 
2026204058,7/27/2026 4:06:10 PM,738-A DEMARET DR,          ,1713886.75,1138764.25,Medical Response,26002536.0,105 ,Monday,16,BCFD
2026204018,7/27/2026 3:35:09 PM,514 W SEXTON RD,          ,1684328.63,1139313.0,Medical Response,2609615.0,20  ,Monday,15,CFD 
2026203997,7/27/2026 3:08:50 PM,3408-BLK N STADIUM BLVD,          ,1672445.25,1148353.63,Electrical Hazard,2609614.0,10  ,Monday,15,CFD 
2026203995,7/27/2026 3:07:05 PM,808 S PROVIDENCE RD,          ,1687908.25,1131883.5,Fire Alarm,2609613.0,MUG1,Monday,15,CFD 
2026203979,7/27/2026 2:46:13 PM,4925 E BONNE FEMME CHURCH RD,          ,1706911.25,1108322.38,Fire Alarm,26002535.0,113 ,Monday,14,BCFD
2026203969,7/27/2026 2:28:56 PM,1900 I70 DR SW,          ,1678208.63,1140599.63,Medical Response,2609612.0,10  ,Monday,14,CFD 
2026203947,7/27/2026 2:17:33 PM,CHAPEL HILL RD/FORUM BLVD,          ,1679432.63,1127580.63,Vehicle Collision,2609610.0,50  ,Monday,14,CFD 
2026203946,7/27/2026 2:17:12 PM,PARKER ST/HERIFORD RD,          ,1693598.75,1141934.0,Vehicle Collision with Injuries,2609611.0,30  ,Monday,14,CFD 
2026203906,7/27/2026 1:32:08 PM,22 S FOURTH ST,          ,1688000.75,1135117.88,Medical Response,2609609.0,70D ,Monday,13,CFD 
2026203895,7/27/2026 1:23:14 PM,50 A5,          ,,,Medical Response,26002533.0,    ,Monday,13,BCFD
2026203863,7/27/2026 12:58:20 PM,5907 KELSEY DR,          ,1712494.63,1144194.0,Carbon Monoxide Alarm,2609608.0,40  ,Monday,12,CFD 
2026203859,7/27/2026 12:54:53 PM,903 W STEWART RD,          ,1682794.0,1134223.0,Medical Response,2609607.0,50  ,Monday,12,CFD 
2026203829,7/27/2026 12:23:02 PM,1820 N MOUNTAINASH CT,          ,1653863.13,1145111.25,Medical Response,26002532.0,103 ,Monday,12,BCFD
2026203815,7/27/2026 12:05:39 PM,726-4 DEMARET DR,          ,1714405.13,1138742.0,Medical Response,26002531.0,105 ,Monday,12,BCFD
2026203795,7/27/2026 11:52:52 AM,E MEXICO GRAVEL RD/N LAKE OF THE WOODS RD,          ,1712512.25,1147637.38,Medical Response,26002530.0,104 ,Monday,11,BCFD
2026203783,7/27/2026 11:45:59 AM,802 CLINKSCALES RD,          ,1679742.0,1139613.38,Residential Structure Fire,2609606.0,20  ,Monday,11,CFD 
2026203778,7/27/2026 11:43:13 AM,315 GREEN MEADOWS CIR,          ,1684751.25,1122776.0,Medical Response,2609605.0,60  ,Monday,11,CFD 
2026203765,7/27/2026 11:32:44 AM,4106 JOSLYN CT,          ,1669840.63,1133376.88,Medical Response,2609604.0,50  ,Monday,11,CFD 
2026203743,7/27/2026 11:14:58 AM,5665 N ROGER I WILSON MEMORIAL DR,          ,1695180.25,1157640.75,Fire Alarm,2609602.0,104 ,Monday,11,CFD 
2026203736,7/27/2026 11:10:14 AM,9301-22 E HWY 22,          ,1729107.88,1237165.63,Medical Response,26002529.0,102 ,Monday,11,BCFD
2026203715,7/27/2026 10:50:09 AM,21-U CONLEY RD,          ,1698234.25,1134416.63,Medical Response,2609601.0,80  ,Monday,10,CFD 
2026203669,7/27/2026 9:55:00 AM,4801 N RTE E,          ,1668357.38,1156264.0,Motor Vehicle Collision,26002528.0,103 ,Monday,9,BCFD
2026203653,7/27/2026 9:41:16 AM,8080 N GLEN MEADOW DR,          ,1707042.13,1168583.5,Medical Response,26002527.0,104 ,Monday,9,BCFD
2026203644,7/27/2026 9:34:05 AM,3910 S PROVIDENCE RD,          ,1687898.25,1119622.75,Fire Alarm,2609600.0,60  ,Monday,9,CFD 
2026203636,7/27/2026 9:29:33 AM,220-A E BUSINESS LOOP 70,          ,1687517.63,1140034.38,Medical Response,2609598.0,20  ,Monday,9,CFD 
2026203634,7/27/2026 9:28:47 AM,805 N WEST BLVD,          ,1682187.75,1139384.38,Electrical Hazard,2609599.0,20  ,Monday,9,CFD 
2026203631,7/27/2026 9:27:28 AM,8760 N HWY VV,          ,1685851.75,1172475.75,Unknown Problem,26002526.0,110 ,Monday,9,BCFD
2026203609,7/27/2026 9:04:31 AM,2012-J1 W ASH ST,          ,1677134.38,1136828.5,Medical Response,2609596.0,50  ,Monday,9,CFD 
2026203580,7/27/2026 8:37:16 AM,100-BLK N HWY UU,          ,1661115.88,1137900.38,Motor Vehicle Collision,26002525.0,111 ,Monday,8,BCFD
2026203517,7/27/2026 7:21:37 AM,509 PENNANT ST,          ,1680420.75,1138671.75,Medical Response,2609594.0,20  ,Monday,7,CFD 
2026203515,7/27/2026 7:20:41 AM,GRANT LN/CHAPEL HILL RD,          ,1671604.13,1128831.75,Electrical Hazard,2609595.0,50  ,Monday,7,CFD 
2026203502,7/27/2026 6:45:55 AM,1387 S SONORA DR,          ,1703073.38,1129176.13,Medical Response,26002524.0,113 ,Monday,6,BCFD
2026203487,7/27/2026 5:36:49 AM,4000 W GIBBS RD,          ,1670508.75,1143786.88,Medical Response,26002523.0,110 ,Monday,5,BCFD
2026203486,7/27/2026 5:35:15 AM,5000 CLARK LN,          ,1708316.13,1139459.63,Unknown Problem,2609593.0,40  ,Monday,5,CFD 
2026203476,7/27/2026 4:57:55 AM,5007 ORCHARD LN,          ,1708494.25,1142524.38,Medical Response,2609592.0,40  ,Monday,4,CFD 
2026203473,7/27/2026 4:47:33 AM,3705 MAMBA DR,          ,1686290.25,1149104.5,Medical Response,2609591.0,10  ,Monday,4,CFD 
2026203462,7/27/2026 3:49:01 AM,1625 RESIDENCE DR,          ,1712344.0,1127998.0,Smoke Alarm,2609590.0,80  ,Monday,3,CFD 
2026203440,7/27/2026 1:59:30 AM,6003 MISTY SPRINGS WAY,          ,1703151.25,1159495.5,Medical Response,2609587.0,30  ,Monday,1,CFD 
2026203399,7/27/2026 12:48:41 AM,1510-B BOYD LN,          ,1705470.88,1141057.38,Carbon Monoxide Alarm,2609586.0,40  ,Monday,0,CFD 
2026203325,7/26/2026 9:58:11 PM,RANGE LINE ST/I70 E,          ,1690215.38,1141627.25,Unknown Problem,2609585.0,30  ,Sunday,21,CFD 
2026203321,7/26/2026 9:53:53 PM,1034-104 CLAUDELL LN,          ,1678418.13,1139142.0,Medical Response,2609584.0,10  ,Sunday,21,CFD 
2026203307,7/26/2026 9:32:01 PM,1611 TOWNE DR,          ,1695963.63,1141877.0,Medical Response,2609583.0,40  ,Sunday,21,CFD 
2026203295,7/26/2026 9:11:08 PM,E HWY 22/N HWY 63 NB,          ,1690230.5,1242604.25,Vehicle Fire,26002521.0,101 ,Sunday,21,BCFD
2026203271,7/26/2026 8:39:42 PM,209 N JOANN ST,          ,1700776.13,1239058.38,Medical Response,26002520.0,160 ,Sunday,20,BCFD
2026203267,7/26/2026 8:32:38 PM,3003 FALLING LEAF CT,          ,1698600.13,1122881.13,Medical Response,2609582.0,80  ,Sunday,20,CFD 
2026203255,7/26/2026 8:25:32 PM,1511 S PROVIDENCE RD,          ,1686302.0,1128288.25,Fire Alarm,2609581.0,60  ,Sunday,20,CFD 
2026203254,7/26/2026 8:24:44 PM,1221-LOT E WALNUT ST,          ,1690906.25,1136034.75,Fire Alarm,2609580.0,70  ,Sunday,20,CFD 
2026203230,7/26/2026 7:57:13 PM,3610 RANGE LINE ST,          ,1690226.63,1148428.25,Unknown Problem,2609579.0,30  ,Sunday,19,CFD 
2026203216,7/26/2026 7:39:11 PM,915 PORT WAY,          ,1710771.13,1137850.63,Fire Alarm,2609578.0,80  ,Sunday,19,CFD 
2026203180,7/26/2026 7:10:28 PM,652 N RANGELINE RD,          ,1724936.25,1137060.63,Smoke Alarm,26002518.0,114 ,Sunday,19,BCFD
2026203171,7/26/2026 6:59:13 PM,3850 RANGE LINE ST,          ,1690525.63,1149042.13,Medical Response,2609575.0,30  ,Sunday,18,CFD 
2026203156,7/26/2026 6:22:48 PM,6379 BROOKE DR,          ,1715587.38,1199246.0,Medical Response,26002517.0,180 ,Sunday,18,BCFD
2026203150,7/26/2026 6:18:03 PM,5665 S BETHEL LN,          ,1683791.75,1111848.5,Residential Structure Fire,2609574.0,60  ,Sunday,18,CFD 
2026203137,7/26/2026 5:59:06 PM,2413 CALDER CT,          ,1696467.63,1119879.5,Medical Response,2609573.0,80  ,Sunday,17,CFD 
2026203111,7/26/2026 5:32:59 PM,6003 MISTY SPRINGS WAY,          ,1703151.25,1159495.5,Medical Response,2609572.0,30  ,Sunday,17,CFD 
2026203092,7/26/2026 5:08:23 PM,4800 MARBLE CEDARS DR,          ,1667080.0,1128672.88,Medical Response,2609571.0,50  ,Sunday,17,CFD 
2026203091,7/26/2026 5:07:54 PM,105 W ASH ST,          ,1685994.0,1136416.63,Medical Response,2609570.0,50  ,Sunday,17,CFD 
2026203081,7/26/2026 4:51:46 PM,1100-1A MEHL RD,          ,1698129.25,1139133.25,Medical Response,2609569.0,40  ,Sunday,16,CFD 
2026203077,7/26/2026 4:45:14 PM,2904 LEEWAY DR,          ,1698644.0,1148055.75,Medical Response,2609568.0,30  ,Sunday,16,CFD 
2026203043,7/26/2026 3:58:47 PM,CONNECTOR OFFR EB/CONNECTOR,          ,1699496.5,1138897.75,Motor Vehicle Collision,2609565.0,80  ,Sunday,15,CFD 
2026203039,7/26/2026 3:51:23 PM,115 CONLEY RD,          ,1698957.38,1135779.38,Unknown Problem,2609564.0,80  ,Sunday,15,CFD 
2026203022,7/26/2026 3:24:15 PM,5126 N CREASY SPRINGS RD,          ,1682167.38,1156465.63,Electrical Hazard,26002514.0,110 ,Sunday,15,BCFD
2026203017,7/26/2026 3:17:32 PM,S TENTH ST/LOCUST ST,          ,1689738.25,1134638.75,Medical Response,2609563.0,70D ,Sunday,15,CFD 
2026203009,7/26/2026 3:09:18 PM,601 SCOTT BLVD,          ,1668828.38,1134748.25,Medical Response,2609562.0,50  ,Sunday,15,CFD 
2026203001,7/26/2026 2:52:44 PM,1323 W BROADWAY,          ,1680415.88,1135948.38,Electrical Hazard,2609561.0,50  ,Sunday,14,CFD 
2026202973,7/26/2026 1:50:55 PM,7 FOURTH AVE,          ,1686470.63,1138985.75,Medical Response,2609560.0,20  ,Sunday,13,CFD 
2026202964,7/26/2026 1:38:43 PM,403 SILVER THORNE DR,          ,1666188.88,1135380.0,Medical Response,2609559.0,50  ,Sunday,13,CFD 
2026202949,7/26/2026 1:20:33 PM,5110 W BENEDICT RD,          ,1666864.25,1188291.5,Gas Leak/Gas Odor,26002513.0,100 ,Sunday,13,BCFD
2026202916,7/26/2026 12:38:32 PM,716 E BUSINESS LOOP 70,          ,1689315.0,1139780.13,Medical Response,2609558.0,20  ,Sunday,12,CFD 
2026202898,7/26/2026 12:19:17 PM,4000 W GIBBS RD,          ,1670508.75,1143786.88,Medical Response,26002512.0,110 ,Sunday,12,BCFD
2026202863,7/26/2026 11:51:46 AM,8080 N GLEN MEADOW DR,          ,1707042.13,1168583.5,Medical Response,26002511.0,104 ,Sunday,11,BCFD
2026202835,7/26/2026 11:20:39 AM,6401-BUS W HWY 40,          ,1659284.5,1143264.38,Medical Response,26002510.0,103 ,Sunday,11,BCFD
2026202833,7/26/2026 11:17:57 AM,111 S PROVIDENCE RD,          ,1687149.38,1134878.25,Medical Response,2609557.0,50  ,Sunday,11,CFD 
2026202828,7/26/2026 11:13:42 AM,704 ALTON AVE,          ,1689048.75,1138258.0,Medical Response,2609556.0,20  ,Sunday,11,CFD 
2026202826,7/26/2026 11:12:56 AM,4424 VECCHI LN,          ,1668445.13,1119065.0,Medical Response,2609555.0,60  ,Sunday,11,CFD 
2026202798,7/26/2026 10:50:29 AM,5904 N TERESA DR,          ,1698054.13,1159052.25,Medical Response,26002509.0,104 ,Sunday,10,BCFD
2026202789,7/26/2026 10:41:07 AM,1703 GARDEN DR,          ,1675519.63,1143187.88,Medical Response,2609554.0,10  ,Sunday,10,CFD 
2026202718,7/26/2026 9:04:22 AM,90 E LESLIE LN,          ,1687172.0,1142743.88,Medical Response,2609553.0,10  ,Sunday,9,CFD 
2026202711,7/26/2026 8:52:35 AM,711 TIGER AVE,          ,1688676.38,1132136.88,Alarm,2609552.0,MUG1,Sunday,8,CFD 
2026202691,7/26/2026 8:16:52 AM,50 A6,          ,,,Medical Response,26002508.0,    ,Sunday,8,BCFD
2026202686,7/26/2026 8:09:31 AM,2333-214 CHAPEL HILL RD,          ,1676233.75,1128723.63,Medical Response,2609551.0,50  ,Sunday,8,CFD 
2026202672,7/26/2026 7:42:40 AM,1611 COUNTRY SIDE LN,          ,1697167.88,1141679.13,Gas Leak/Gas Odor,2609550.0,40  ,Sunday,7,CFD 
2026202647,7/26/2026 6:40:53 AM,1102-A PANNELL ST,          ,1690612.88,1139355.38,Medical Response,2609549.0,20  ,Sunday,6,CFD 
2026202642,7/26/2026 6:30:41 AM,3817 BRAY CT,          ,1670741.63,1131380.5,Citizen Assist/Service Call,2609548.0,50  ,Sunday,6,CFD 
2026202641,7/26/2026 6:30:08 AM,8021 E PAYETTE DR,          ,1721508.13,1143188.63,Alarm,26002507.0,105 ,Sunday,6,BCFD
2026202636,7/26/2026 6:18:21 AM,652 N RANGELINE RD,          ,1724936.25,1137060.63,Smoke Alarm,26002506.0,114 ,Sunday,6,BCFD
2026202635,7/26/2026 6:06:27 AM,1509 MCKEE ST,          ,1705931.38,1140880.0,Unknown Problem,2609547.0,40  ,Sunday,6,CFD 
2026202625,7/26/2026 5:09:13 AM,105-12 N GARTH AVE,          ,1685868.38,1135912.88,Medical Response,2609546.0,50  ,Sunday,5,CFD 
2026202611,7/26/2026 3:55:44 AM,N STADIUM BLVD/W BROADWAY,          ,1676958.0,1136258.75,Fuel Spill/Fuel Odor,2609545.0,50  ,Sunday,3,CFD 
2026202604,7/26/2026 3:39:04 AM,105 W ASH ST,          ,1685994.0,1136416.63,Medical Response,2609544.0,50  ,Sunday,3,CFD 
2026202592,7/26/2026 3:05:22 AM,4525 WACO RD,          ,1706430.88,1157886.5,Medical Response,2609543.0,30  ,Sunday,3,CFD 
2026202584,7/26/2026 2:39:53 AM,3501-205 NEW HAVEN RD,          ,1701364.0,1121525.5,Medical Response,2609542.0,80  ,Sunday,2,CFD 
2026202578,7/26/2026 2:25:50 AM,1612-209 N PROVIDENCE RD,          ,1688133.75,1142247.63,Medical Response,2609541.0,10  ,Sunday,2,CFD 
2026202571,7/26/2026 2:09:24 AM,2406 BENTLEY CT,          ,1683890.75,1145036.38,Medical Response,2609540.0,10  ,Sunday,2,CFD 
2026202564,7/26/2026 1:54:51 AM,2204 CALLAWAY DR,          ,1707940.75,1143451.75,Medical Response,2609539.0,40  ,Sunday,1,CFD 
2026202560,7/26/2026 1:41:52 AM,4201-121 CLARK LN,          ,1704883.75,1140360.13,Medical Response,2609538.0,40  ,Sunday,1,CFD 
2026202555,7/26/2026 1:36:50 AM,509 FLORENCE AVE,          ,1683119.25,1138375.38,Carbon Monoxide Alarm,2609537.0,20  ,Sunday,1,CFD 
2026202547,7/26/2026 1:19:19 AM,1703 GARDEN DR,          ,1675519.63,1143187.88,Medical Response,2609536.0,10  ,Sunday,1,CFD 
2026202535,7/26/2026 12:59:27 AM,320-104 W OLD PLANK RD,          ,1683301.0,1111956.0,Smoke Alarm,2609535.0,60  ,Sunday,0,CFD 
2026202505,7/25/2026 11:58:26 PM,1201-BLK PAQUIN ST,          ,1690582.88,1133978.63,Medical Response,2609534.0,MUG2,Saturday,23,CFD 
2026202436,7/25/2026 10:23:31 PM,604 PARIS CT,          ,1692233.5,1137589.88,Medical Response,2609533.0,70  ,Saturday,22,CFD 
2026202434,7/25/2026 10:20:59 PM,105 W ASH ST,          ,1685994.0,1136416.63,Medical Response,2609532.0,50  ,Saturday,22,CFD 
2026202431,7/25/2026 10:16:51 PM,2505 ANDY DR,          ,1695725.88,1144537.63,Gas Leak/Gas Odor,2609531.0,30  ,Saturday,22,CFD 
2026202389,7/25/2026 9:23:00 PM,4160-207 BETHEL ST,          ,1685085.63,1118905.13,Medical Response,2609529.0,60  ,Saturday,21,CFD 
2026202384,7/25/2026 9:19:13 PM,1608 WOODRAIL AVE,          ,1679121.25,1122538.63,Medical Response,2609528.0,60  ,Saturday,21,CFD 
2026202381,7/25/2026 9:15:50 PM,275 W HIGH POINT LN,          ,1683383.63,1101220.75,Alarm,26002504.0,115 ,Saturday,21,BCFD
2026202372,7/25/2026 9:03:05 PM,1616 N LAKEWOOD DR,          ,1711479.0,1140371.38,Medical Response,26002502.0,104 ,Saturday,21,BCFD
2026202367,7/25/2026 8:59:09 PM,2116 PARIS RD,          ,1695783.13,1141958.5,Unknown Problem,2609526.0,40  ,Saturday,20,CFD 
2026202365,7/25/2026 8:59:08 PM,W ASH ST/SANFORD AVE,          ,1684518.0,1136549.0,Citizen Assist/Service Call,2609527.0,50  ,Saturday,20,CFD 
2026202340,7/25/2026 8:24:46 PM,2404 E ELAINE DR,          ,1696773.25,1159118.5,Medical Response,26002501.0,104 ,Saturday,20,BCFD
2026202323,7/25/2026 8:10:02 PM,1034-104 CLAUDELL LN,          ,1678418.13,1139142.0,Medical Response,2609525.0,10  ,Saturday,20,CFD 
2026202314,7/25/2026 8:05:40 PM,1460 S DANIEL BOONE BLVD,          ,1706276.25,1128974.75,Medical Response,26002500.0,113 ,Saturday,20,BCFD
2026202309,7/25/2026 8:00:42 PM,3215 RANGE LINE ST,          ,1689629.63,1147190.0,Medical Response,2609524.0,30  ,Saturday,20,CFD 
2026202297,7/25/2026 7:50:35 PM,2116 PARIS RD,          ,1695783.13,1141958.5,Medical Response,2609523.0,40  ,Saturday,19,CFD 
2026202286,7/25/2026 7:43:39 PM,4150-308 BETHEL ST,          ,1684790.13,1118888.5,Medical Response,2609522.0,60  ,Saturday,19,CFD 
2026202280,7/25/2026 7:38:59 PM,5806 FREEPORT WAY,          ,1711676.75,1134982.38,Medical Response,2609521.0,80  ,Saturday,19,CFD 
2026202263,7/25/2026 7:20:45 PM,3991 S BEN WILLIAMS RD,          ,1719711.75,1118640.38,Medical Response,26002499.0,114 ,Saturday,19,BCFD
2026202248,7/25/2026 7:08:55 PM,1224-210 E WALNUT ST,          ,1690867.38,1135571.38,Fire Alarm,2609520.0,70  ,Saturday,19,CFD 
2026202223,7/25/2026 6:32:24 PM,2005 PETTIS DR,          ,1708705.0,1142895.13,Unknown Odor,2609519.0,40  ,Saturday,18,CFD 
2026202207,7/25/2026 6:02:03 PM,2301 W WORLEY ST,          ,1675647.38,1139498.25,Elevator/Escalator Rescue,2609518.0,10  ,Saturday,18,CFD 
